ID,Name,Power,Killpoints,Deads,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,Total Kills,T45 Kills,Ranged,Rss Gathered,Rss Assistance,Helps,Alliance
179940560,ᴸᵛ k,107281922,438956715,3515439,737995,858571,656156,22604177,10421279,35278178,33025456,0,5938760151,1873979817,79705,[LV21]Lords of Valinor
186145908,ʳᵉʸEscanor,86927341,1386398921,3617960,3945705,914540,1661085,116027378,10843129,133391837,126870507,0,3478114982,4338233340,21495,[LV21]Lords of Valinor
188540500,TakeMe2Valhalla,85454390,1372708676,5133677,12405750,5648863,10614805,101029080,15308989,145007487,116338069,0,2813871131,6861247108,44156,[LV21]Lords of Valinor
180304933,ᴼᶻLil reyy,82892325,276519257,3206564,2186387,2764385,3176405,14592279,5596240,28315696,20188519,0,1098242087,4660554697,20926,[LV21]Lords of Valinor
179655012,ᴸᵛDØØPER,78770409,387257120,2165656,1229774,969397,1232048,21978606,8017906,33427731,29996512,0,8267183375,1451282007,36801,[LV21]Lords of Valinor
188858506,Cúchulainn 쵸,74948123,194617548,1721129,556160,261133,417020,17613831,808883,19657027,18422714,0,4781569448,512651627,35837,[LV21]Lords of Valinor
178695066,SokoDrake,70115208,61561847,2511465,451468,102654,145569,4110075,979161,5788927,5089236,0,7542849881,115903540,16761,[LV21]Lords of Valinor
180560115,TripEhh,63391918,299224605,1366497,1534135,808547,280026,16426398,6595830,25644936,23022228,0,6586264578,1225250480,11278,[LV21]Lords of Valinor
184964288,ᴾᴿFïshböy,62121518,232834967,2065225,1995145,4656245,3957977,18519642,1104756,30233765,19624398,0,3355944207,632742525,37572,[LV21]Lords of Valinor
179977300,ᴸᵛTmulla,62252222,504791687,1724908,2409495,413380,894297,22376348,13807118,39900638,36183466,0,6881219734,5430679937,17359,[LV21]Lords of Valinor
186009654,Dooby ᴼᴺᴱ,58505472,226733575,669917,1577826,342124,485548,20987085,696036,24088619,21683121,0,7215454752,137216122,34467,[LV21]Lords of Valinor
178814644,ᵁʷᵘØtòt,56081920,395415835,2902845,18382416,3352869,2295591,27275303,5154911,56461090,32430214,0,2295222519,2229433716,15048,[LV21]Lords of Valinor
188839265,A 10 Warthog,55723238,8485081,177018,40266,74269,128745,665131,58110,966521,723241,0,3531667603,724780894,10280,[LV21]Lords of Valinor
188341936,ᴸᵛ Vatson67,53737723,216310224,1658475,1039003,544821,595628,18855837,1203595,22238884,20059432,0,6251294153,384720155,41063,[LV21]Lords of Valinor
188918989,ᴼᴸ Kaymo,52909662,113024981,1027599,2450325,1386449,2524567,9233055,366660,15961056,9599715,0,3594615970,1065163587,40060,[LV21]Lords of Valinor
184871937,ScazBigLion,51327467,1057597913,3975727,54245068,22592962,23784399,80545096,5048721,186216246,85593817,0,5857024236,13364268108,20598,[LV21]Lords of Valinor
186985518,HornyAPOLLOS,50686540,203844038,1328117,2284490,1512134,3131188,17165898,808957,24902667,17974855,0,2707684502,594947915,17263,[LV21]Lords of Valinor
185836736,ᴸᵛMasonFTW,49669495,438294455,2372746,5603855,2208085,4769431,35830375,2768802,51180548,38599177,0,3253001285,2802859223,28151,[LV21]Lords of Valinor
180060983,ᴸᵛRumRamsey,48978839,326351118,2163165,95038663,5047920,969934,23858741,2739020,127654278,26597761,0,5958163894,417518493,90440,[LV21]Lords of Valinor
182514982,ᴸoᵛeSalmon,48881723,310523328,2776573,17625212,652284,729252,20715077,4781297,44503122,25496374,0,5403198943,1000488180,50831,[LV21]Lords of Valinor
181308342,ᴸᵛRockSolid,46044982,156884758,2426820,2664193,707125,1385050,9928927,2505410,17190705,12434337,0,3418258642,5482949920,38837,[LV21]Lords of Valinor
185808036,Ze Bosh,45469929,324557669,903869,8598579,2626646,3862918,28938009,637645,44663797,29575654,0,5519491560,631820319,29872,[LV21]Lords of Valinor
188920797,FreyaFullBosom,45028351,73915772,1618954,1713022,951963,1141723,6059521,325357,10191586,6384878,0,3397385480,1323334617,23791,[LV21]Lords of Valinor
176994964,Cpl Rage,44545263,93502377,401978,2192506,1505524,2116032,7329702,414584,13558348,7744286,0,1814367710,63265830,16727,[LV21]Lords of Valinor
181825355,ᴸoᵛePUMA,43286141,156778237,1017476,1171836,347822,494479,11041141,2172945,15228223,13214086,0,3234446014,3599759382,33816,[LV21]Lords of Valinor
184826667,ᴸᵛAHERUS勇,42779847,472704916,1238404,2,5,-1,-1,-1,7,0,-1,5582067317,1396853955,24526,[LV21]Lords of Valinor
179750493,GuiltyMahiru,42774384,105751044,940254,2798051,770150,1126071,9120547,397069,14211888,9517616,0,1465857009,1875360302,38355,[LV21]Lords of Valinor
187247613,Sith Padmé,42625025,168605844,2414455,3465372,2992211,3976522,13650502,475862,24560469,14126364,0,7353840180,4298542203,83177,[LV21]Lords of Valinor
181739549,kylinn,41829522,97526701,3321903,2389177,278410,278364,6880327,1328766,11155044,8209093,0,5128390117,10337862643,31310,[SFIS]Sky Fighters
188241812,Gilgamesh2323,41724011,71992509,734147,2437579,200187,257995,6704774,151245,9751780,6856019,0,4869104656,62620586,23201,[LV21]Lords of Valinor
185690465,Dictator  Goat,41714231,331246659,1938979,6061698,2157810,1271305,30165982,948683,40605478,31114665,0,5819884173,985155698,34260,[LV21]Lords of Valinor
182423962,シValkyrieCillaﾒ,41221773,108655086,1842465,5640832,822285,707170,8369803,967782,16507872,9337585,0,5025129925,1265202821,14846,[LV21]Lords of Valinor
188976136,ᴸᵛ MUSE,41202842,85064135,1161048,1964008,2348512,917125,6487889,571346,12288880,7059235,0,5067393979,325719425,46455,[LV21]Lords of Valinor
142628224,Dae jang goon,40967816,130634720,2352556,1879642,714373,319759,10812135,971483,14697392,11783618,0,4803069512,102794418,16135,[LV21]Lords of Valinor
179813923,ㄴ Bless ㄱ,40789127,220699813,2184266,7734825,5947505,5124577,17565497,555228,36927632,18120725,0,2387621322,978016636,23078,[LV21]Lords of Valinor
188969478,ᴰᴹMePaul,39867168,86031221,830319,1953068,3290337,2573561,5970399,453085,14240450,6423484,0,3502049311,278578838,3355,[LV21]Lords of Valinor
188483360,ᴼᴸTryxan,39547968,147422454,1033557,4172973,2835314,2675448,11460076,780734,21924545,12240810,0,5860223238,1689436768,38891,[LV21]Lords of Valinor
188785515,Johnvin,39446339,132578913,1611749,703907,454416,1065340,11897502,414646,14535811,12312148,0,4850601414,93446315,55562,[LV21]Lords of Valinor
188485523,ᴸᵛIMPERADOR,39046288,120021274,897333,405653,28816,60168,10586226,688979,11769842,11275205,0,5968681568,181752989,34832,[LV21]Lords of Valinor
187423027,ᴸᴳPandaFr3d,38899717,164714836,1893655,1871461,791324,911124,13169288,1371026,18114223,14540314,0,2761332786,6820681844,25928,[LV21]Lords of Valinor
188882878,Rtthyr,38632854,72536184,744753,194923,102500,108215,6407082,389426,7202146,6796508,0,7059014917,93046400,18532,[LV21]Lords of Valinor
186199010,Daphneᴵᴿ,38665318,176157681,1617039,1524876,1269505,3309484,13540272,1233652,20877789,14773924,0,4076536306,1458857670,53565,[LV21]Lords of Valinor
185282531,Jëster,37975377,45496988,2695521,469962,132883,175975,4001273,221030,5001123,4222303,0,3451908286,592793562,26179,-
179816952,Hell CAT GTR,37792147,47870265,2646607,54836838,1765720,1888997,1945681,317933,60755169,2263614,0,5353861956,1636698071,10401,[LV21]Lords of Valinor
187726069,ᵀᴿvSpryth,37636896,43948687,615317,1261609,157369,303127,3796266,210323,5728694,4006589,0,5306329908,15763287,21885,[LV21]Lords of Valinor
185457048,Cman9918,37607129,128598399,1146301,3704156,1184975,873737,11230033,484617,17477518,11714650,0,1991413988,126071365,16585,[LV21]Lords of Valinor
180368631,ᴸᵛWinfields,37323097,153071208,4521082,23185411,189020,606014,11165727,1698738,36844910,12864465,0,5020714508,1868634074,13102,[LV21]Lords of Valinor
188315680,ᴵᶜ VXYzzz,37226897,99903871,786586,2876549,2107155,3146783,7644046,304333,16078866,7948379,0,5786027970,34554649,30566,[LV21]Lords of Valinor
178213242,ᶦˢLOCOOZ,37046806,121205681,3688087,2053376,957035,1554554,6929606,2168333,13662904,9097939,0,4338797235,1274602396,21583,[LV21]Lords of Valinor
188569749,ᴵᴾEndoloris,37018743,135932617,1872172,1390988,2616276,1563397,10769220,823804,17163685,11593024,0,1822151378,163440000,5369,-
186444772,HornyDr4gonツ,36451444,244579609,2586688,5247209,3482356,3833359,21316520,403341,34282785,21719861,0,5190080990,4177255259,37279,[LV21]Lords of Valinor
188651683,Sol Aliyaa,36275937,12035638,109645,119003,49805,35722,1123748,26593,1354871,1150341,0,3833775458,201676244,15123,[LV21]Lords of Valinor
188303104,HokieHighlander,36214410,51506187,1258821,163505,109840,34689,4634293,238606,5180933,4872899,0,1045133877,80507159,12678,[LV21]Lords of Valinor
188880730,ᴸᵛMarlone,36291429,117882884,1756178,410310,370088,130184,10228033,712979,11851594,10941012,0,5727228641,76720000,43125,[LV21]Lords of Valinor
185048534,Han Sansan,35584678,101489100,743566,376122,342082,415533,9236772,334993,10705502,9571765,0,5862208114,307367305,30135,[LV21]Lords of Valinor
188805469,BossAlienᴾᴴ,35469732,63939629,1158071,214067,604492,927433,5552798,172506,7471296,5725304,0,4791267950,134750966,37266,[LV21]Lords of Valinor
188276623,ᴸᵛArork,35375651,74165396,928755,727440,1265703,1364258,6306855,148146,9812402,6455001,0,3635482866,360935366,16071,[LV21]Lords of Valinor
188333348,ᴷᴺLinh,35234008,63949139,919906,1886379,1645656,5139453,3554252,209011,12434751,3763263,0,4730912769,550111352,10851,[LV21]Lords of Valinor
