ID,Name,Power,Killpoints,Deads,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,Total Kills,T45 Kills,Ranged,Rss Gathered,Rss Assistance,Helps,Alliance
179940560,ᴸᵛ ink,103385651,681650959,4362036,2922076,868211,971623,40507037,13518663,58787610,54025700,0,6146364316,1873979817,82059,[LV21]Lords of Valinor
186145908,ʳᵉʸEscanor,88451131,1531431354,3712561,4661820,915441,1734412,126562596,12805225,146679494,139367821,0,3557058467,4498233340,22608,[LV21]Lords of Valinor
188540500,TakeMe2Valhalla,85185190,1461585640,5178385,12805473,5652155,10639829,107845040,16335526,153278023,124180566,0,2834280658,7101247251,44789,[LV21]Lords of Valinor
180304933,LilLƴ,80869163,324306462,3362990,2782862,2764385,3236435,18035808,6245865,33065355,24281673,0,1171579249,5020554697,22431,[LV21]Lords of Valinor
188858506,Cúchulainn 쵸,76677389,266615990,1972640,936833,278745,498321,23379991,1503897,26597787,24883888,0,5102514815,552651627,38056,[LV21]Lords of Valinor
179655012,ᴸᵛDØØPER,74314095,561651625,2663421,2667918,973558,1257919,36144409,9634758,50678562,45779167,0,8493153297,1491282008,38554,[LV21]Lords of Valinor
178695066,SokoDrake,67286658,126212966,2755706,1295551,106206,148891,9230362,1642113,12423123,10872475,0,7985205355,115903540,17702,[LV21]Lords of Valinor
180560115,TripEhh,63377625,426887247,1462944,2776979,822023,695354,26535253,7827693,38657302,34362946,0,6691953276,1225250480,11319,[LV21]Lords of Valinor
184964288,ᴾᴿFïshböy,62165673,277723981,2109563,2057085,4656295,3958131,21143365,2036690,33851566,23180055,0,3506845070,632742525,39180,[LV21]Lords of Valinor
179977300,ᴸᵛTmulla,60993890,803546821,1802631,3860548,420787,1492407,45345975,17125188,68244905,62471163,0,6986046478,5600679937,17714,[LV21]Lords of Valinor
186009654,Dooby ᴼᴺᴱ,59939402,324804278,750717,2581671,360853,500752,29376559,1389882,34209717,30766441,0,7620039329,137216122,35834,[LV21]Lords of Valinor
188839265,A 10 Warthog,58345185,12765610,230642,42253,74269,128873,1010827,99243,1355465,1110070,0,3752959523,754780894,11287,[21M]Immortal Myrmidons
188341936,ᴸᵛ Vatson67,56135392,287737986,1695197,1362222,557828,606199,24635915,1878297,29040461,26514212,0,6610549920,384720155,42360,[LV21]Lords of Valinor
188918989,ᴼᴸ Kaymo,55130631,125177460,1092879,2484352,1386449,2529103,10279320,449904,17129128,10729224,0,3808277288,1075163587,41664,[LV21]Lords of Valinor
178814644,ᵁʷᵘØtòt,55109959,444858744,3140400,18550973,3385819,2356133,31505688,5494775,61293388,37000463,0,2295222519,2329433716,15901,[LV21]Lords of Valinor
185836736,ᴸᵛMasonFTW,51732611,485003885,2396695,5724465,2218733,4779924,39893831,3068176,55685129,42962007,0,3370836894,2802859223,28969,[LV21]Lords of Valinor
182514982,ᴸoᵛeSalmon,51748070,440128775,3085731,17974387,656722,752616,30368903,6426048,56178676,36794951,0,5510962390,1060488180,53418,[LV21]Lords of Valinor
186985518,HornyAPOLLOS,50867130,234761996,1473165,2933292,1516250,3177802,19826269,1008447,28462060,20834716,0,2765686504,594947984,18426,[LV21]Lords of Valinor
184871937,ScazBigLion,48290328,1217022721,4527691,56591135,23364142,26120855,94350903,5549188,205976223,99900091,0,5925433539,13704268108,20876,[LV21]Lords of Valinor
181825355,ᴸoᵛePUMA,48241412,240010212,1420218,1482144,360220,537196,17243018,3220719,22843297,20463737,0,3290251532,3599759382,35621,[LV21]Lords of Valinor
142628224,Dae jang goon,48057619,179520430,2398902,2082564,718074,369855,14260849,1678993,19110335,15939842,0,4945706185,102794418,17107,[LV21]Lords of Valinor
