ID,Name,Power,Killpoints,Deads,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,Total Kills,T45 Kills,Ranged,Rss Gathered,Rss Assistance,Helps,Alliance
179940560,ᴸᵛ ink,106865291,682092329,4362036,2922076,868211,971623,40544654,13521923,58828487,54066577,0,6185804199,1873979817,82418,[LV21]Lords of Valinor
186145908,ʳᵉʸEscanor,87786082,1533502776,3712561,4662483,915441,1734412,126563151,12908512,146783999,139471663,0,3563737722,4498233340,22750,[LV21]Lords of Valinor
188540500,TakeMe2Valhalla,84964610,1482723542,5287240,13604724,5658631,10686709,109781468,16406191,156137723,126187659,0,2834280658,7101247251,44958,[LV21]Lords of Valinor
180304933,LilLƴ,79913667,327479762,3362990,2782862,2764385,3236435,18086322,6379273,33249277,24465595,0,1186033142,5020554697,22622,[LV21]Lords of Valinor
179655012,ᴸᵛDØØPER,74808915,562184985,2663787,2667918,973558,1257919,36172451,9647405,50719251,45819856,0,8548948453,1491282008,38863,[LV21]Lords of Valinor
188858506,Cúchulainn 쵸,74347069,267274240,1972640,936833,278745,498321,23396992,1528309,26639200,24925301,0,5139019892,552651627,38246,[LV21]Lords of Valinor
178695066,SokoDrake,69519346,126212966,2755706,1295551,106206,148891,9230362,1642113,12423123,10872475,0,8059496512,115903540,17841,[LV21]Lords of Valinor
180560115,TripEhh,63643249,426887247,1462944,2776979,822023,695354,26535253,7827693,38657302,34362946,0,6738918463,1225250480,11338,[LV21]Lords of Valinor
184964288,ᴾᴿFïshböy,63416511,278949681,2109563,2057085,4656295,3958131,21230437,2054439,33956387,23284876,0,3530044236,632742525,39409,[LV21]Lords of Valinor
179977300,ᴸᵛTmulla,61649292,803546821,1802694,3860548,420787,1492407,45345975,17125188,68244905,62471163,0,7003558338,5600679937,17779,[LV21]Lords of Valinor
186009654,Dooby ᴼᴺᴱ,60872570,325377358,750830,2581671,360853,500752,29416947,1398342,34258565,30815289,0,7646604520,137216122,36059,[LV21]Lords of Valinor
188839265,A 10 Warthog,59113533,12765610,230642,42253,74269,128873,1010827,99243,1355465,1110070,0,3801574523,754780894,11387,[LV21]Lords of Valinor
180060983,ᴸᵛRumRamsey,57388717,388009988,2388036,115868081,5049133,999044,28349719,3362237,153628214,31711956,0,6176931342,417518493,95019,[LV21]Lords of Valinor
188341936,ᴸᵛ Vatson67,57010274,288820822,1699405,1362222,557828,606793,24713879,1893338,29134060,26607217,0,6677417018,384720155,42663,[LV21]Lords of Valinor
188918989,ᴼᴸ Kaymo,56153511,125177460,1092879,2484352,1386449,2529103,10279320,449904,17129128,10729224,0,3826371448,1075163587,41877,[LV21]Lords of Valinor
178814644,ᵁʷᵘØtòt,55196361,444858744,3140400,18550973,3385819,2356133,31505688,5494775,61293388,37000463,0,2295222519,2329433716,15921,[LV21]Lords of Valinor
182514982,ᴸoᵛeSalmon,52852696,440735817,3085752,17974388,656723,752616,30423365,6429169,56236261,36852534,0,5529656185,1060488180,53891,[LV21]Lords of Valinor
185836736,ᴸᵛMasonFTW,51278519,487911661,2396695,13306045,2218733,4779924,39924969,3122180,63351851,43047149,0,3411081344,2802859223,29031,[LV21]Lords of Valinor
186985518,HornyAPOLLOS,50739950,247740685,1638181,3315575,1545689,3188978,20999522,1061753,30111517,22061275,0,2765944860,594948054,18882,[LV21]Lords of Valinor
184826667,ᴸᵛAHERUS勇,49727180,525146146,1493172,12792273,5953573,11268784,45198363,681089,75894082,45879452,0,6028396280,1446853955,25245,[LV21]Lords of Valinor
142628224,Dae jang goon,49435053,179520430,2398902,2082564,718074,369855,14260849,1678993,19110335,15939842,0,4992646937,102794418,17171,[LV21]Lords of Valinor
184871937,ScazBigLion,48859410,1217022721,4528382,56591135,23364142,26120855,94350903,5549188,205976223,99900091,0,5931437553,13704268108,20902,[LV21]Lords of Valinor
185355768,Majaaaaaaa,48589363,577673018,6018425,3773833,2405479,3630391,50168691,2794941,62773335,52963632,0,1749957055,8071265646,20194,[LG21]Lords of Gondor
181825355,ᴸoᵛePUMA,48306672,240290972,1420218,1482144,360220,537196,17255176,3228678,22863414,20483854,0,3290251532,3599759382,35752,[LV21]Lords of Valinor
186199010,Daphneᴵᴿ,48202622,211400524,1801838,1835853,1275812,3351750,16214427,1646523,24324365,17860950,0,4226123897,1538857670,56180,[LV21]Lords of Valinor
181308342,ᴸᵛRockSolid,47853816,200534376,2758682,2730982,709675,1442730,13578131,2850830,21312348,16428961,0,3457457400,6082949920,41481,[LV21]Lords of Valinor
188920797,FreyaFullBosom,46113771,105672530,1839298,1860054,961746,1182547,8493034,685825,13183206,9178859,0,3674179019,1323334617,24635,[LV21]Lords of Valinor
176994964,Cpl Rage,45920650,115452738,476905,2377013,1506916,2122761,9023966,661640,15692296,9685606,0,1910845311,63265830,17173,[LV21]Lords of Valinor
185808036,Ze Bosh,45682185,324557669,903869,8598579,2626646,3862918,28938009,637645,44663797,29575654,0,5524831742,631820319,29935,-
179750493,GuiltyMahiru,45259295,188157446,1078908,2988644,770599,1221215,16166080,973643,22120181,17139723,0,1506241607,2025360302,41055,[LV21]Lords of Valinor
182423962,シValkyrieCillaﾒ,43018959,120607461,1875411,5641345,823181,711090,9277781,1110533,17563930,10388314,0,5110094746,1265202822,15249,[LV21]Lords of Valinor
188241812,Gilgamesh2323,42961946,121074770,938540,24286930,210544,281714,10279740,593602,35652530,10873342,0,5188112702,62620586,26024,[LV21]Lords of Valinor
179813923,ㄴ Bless ㄱ,42568357,241537502,2188438,7770721,5954918,5164873,19241179,750112,38881803,19991291,0,2544184953,978016636,23617,[LV21]Lords of Valinor
187423027,ᴸᴳPandaFr3d,42535785,190281160,2048263,1957321,794040,914974,14729262,1867455,20263052,16596717,0,2856780371,6820681844,26396,[21M]Immortal Myrmidons
185690465,Dictator  Goat,41872196,357470758,2170212,6092140,2162244,1318953,32523873,1070665,43167875,33594538,0,6209087277,1005155698,35314,[LV21]Lords of Valinor
181739549,kylinn,41829522,97526701,3321903,2389177,278410,278364,6880327,1328766,11155044,8209093,0,5128390117,10337862643,31310,[SFIS]Sky Fighters
187247613,Queen Padmé,41642172,215175254,3313856,4426292,2996263,4013920,16998645,1112767,29547887,18111412,0,7777384844,4688542203,88230,[LV21]Lords of Valinor
188485523,ᴸᵛIMPERADOR,41177170,198854196,1007660,600362,31074,81329,16162108,1836279,18711152,17998387,0,6384736748,281752989,37480,[LV21]Lords of Valinor
188483360,ᴼᴸTryxan,41167981,200913899,1210760,21238115,2837274,2706917,15674964,1170721,43627991,16845685,0,6174880061,2169436768,40701,[LV21]Lords of Valinor
188969478,ᴰᴹMePaul,40776765,97715103,990857,1956006,3290337,2582057,6816540,612480,15257420,7429020,0,3762165501,278578838,3681,[LV21]Lords of Valinor
188785515,Johnvin,40674554,174423228,1722597,874780,509812,1100372,15013974,934371,18433309,15948345,0,4982084782,93446315,57423,[LV21]Lords of Valinor
188976136,ᴸᵛ MUSE,40214661,105848648,1240457,2095231,2355914,944966,8234111,729840,14360062,8963951,0,5230726015,365719425,48622,[LV21]Lords of Valinor
179816952,Hell CAT GTR,38799498,59970288,2896557,79058810,1765741,1889101,2627306,339879,85680837,2967185,0,5512842178,1636698071,11055,[LV21]Lords of Valinor
185282531,Annıɛ,38667309,45496988,2695521,469962,132883,175975,4001273,221030,5001123,4222303,0,3456998437,592793562,26307,[LV21]Lords of Valinor
180368631,ᴸᵛWinfields,38508884,165655176,4678721,23224970,189123,611409,12182006,1818312,38025820,14000318,0,5288291223,1877834074,13975,[LV21]Lords of Valinor
188880730,ᴸᵛMarlone,38332875,148209496,1942492,485972,373109,200006,12467842,1094382,14621311,13562224,0,6032166290,136720000,45380,[LV21]Lords of Valinor
188303104,HokieHighlander,38261359,85190423,1556655,393175,111135,71502,7077577,691387,8344776,7768964,0,1084392579,84975248,13873,[LV21]Lords of Valinor
185457048,Cman9918,38231477,133602129,1160939,3704156,1184975,873737,11641776,528932,17933576,12170708,0,1996001700,126071365,16769,-
186765655,KönigsKlãsse,38216318,233880441,1176829,2425318,1403168,1938998,19762699,1260303,26790486,21023002,0,3628786434,407789115,8756,[LV21]Lords of Valinor
188882878,Rtthyr,38197356,108559645,1037752,262928,107597,121724,9276273,752112,10520634,10028385,0,7535049742,93046400,19776,[LV21]Lords of Valinor
178213242,ᶦˢLOCOOZ,38189900,140178485,3850546,2141345,957035,1554554,8372481,2394656,15420071,10767137,0,4422109729,1274602396,22198,[LV21]Lords of Valinor
189060019,Tušiš,38004007,90873149,842859,792209,636796,1052564,7749328,386879,10617776,8136207,0,3019181747,572362862,20843,[LV21]Lords of Valinor
187726069,ᵀᴿvSpryth,37888634,77885559,809475,1399758,170663,364308,6716619,432043,9083391,7148662,0,5541632062,15763287,24231,[LV21]Lords of Valinor
188651683,Sol Aliyaa,37647794,13645781,140221,204288,216649,153294,1152169,51838,1778238,1204007,0,4014900292,201676244,15756,[LV21]Lords of Valinor
