Name,Score
[LV21] Lords of Valinor,5729808621
[LG21] Lords of Gondor,1705027130
[LR21] Lords of Rohan,1016133106
[21M] Immortal Myrmidc,530978161
[21IR] Corral,417492455
[211] Immortal Falcons,356265522
[LLA] Lost legion academ,253526411
[21MA] Myrmidons Acade,222750232
[K~R~] 3621 Utility Box,182422066
[21if] farm 21If,166097035
[OP1] OP CLAN,153476819
[RC21] ROYAL CROWN,152059166
[SFIS] Sky Fighters,146403311
[GW21] GOATED WARRIO,114137301
[OOR] GARDEN rabbits,104420336
[NYT] Nyghtfire/21IT/RW,87194832
[V-NN] VanFamily,85799601
[TFS:] The Forsaken Soul,84380365
[I-am] RoyalLoyalMembe,79513061
[2ID1] ID farm VN,79513061
[21lf] GanjaMafja,72773577
[jk10] jk 3621,72632406
[RWND] RWND/21IT ACAD!,69655256
[21ic] kingdom of warrio,69655256
[~AKT] BR AKATSUKI,69655256
[21LK] legionary knight,56693555
[P21J] PETANI IDAMAN JA,53608036
[Tick] Tick tack,53561184
[210F] 3621 Official Farm,53095642
[_LIK_] Immortal AKATSUI,47545056
[21MS] Myrmidons Farm,37859793
[SL21] Shadow legion,37484140
[_NDM] New Jersey Nol,34474416
[VD1] Vagabond,31747763
[ANTB] Anti Banned Club,30872280
[safE] Diamonds Catties,30647716
[Ip21] Farm of Boss,30513126
[21ib] Indonesia biru,30513126
[CREW] The CREW,30513126
[1AMH] Tosun,30513126
[W/1] 100 Mortals,30513126
[TR21] True Royelty,22777070
[FR~~] VIVE LA FRANCE,22770170
[11IN] alliance inazuma,22694910
[tgm1l] amarl,22282735
[Slon] Slonii,21970750
[Deva] Legend of the dra,21544776
[EA'1] KING LEGEND,21470078
[211A] IMMORTAL SLAYEF,21240141
[21U1] IMMORTAL UTOPL,20672437
[Mmkk] 2c» ala,20102864
[DNTM] Dont Touch Me,19166201
[TM24] Dragon-D-Team,18364624
[SPb7] BopoHuu,18162534
[KBAK] Kickback Kingdor,17107678
[21Bi] Blood immortals,17107678
[CRNT] Gli Spartani,17107678
[FaR] IMMORTAL FARM,17107678
[URFA] sehr-i urfa,14729282
[FF21] Turkishh power,14673127
[Alg] Palestine313,14673127
[Ra8] Academy,14673127
[DD21] Dragon of Death,14075639
[IDFr] Corona,14075639
[43-M] LEGION 43-M,14075639
[JUM1] Jumpbyrumsn,14075639
[211B] White Blood,12032930
[21ca] bo lac an hai,11770910
[!/IL] Immortal Legacys,11770910
[Hmz2] Hafez,11770910
[Hmz] DoUrden,10398687
[fagr] alpha table,10385443
[BPRS] snazzysaucers,10189434
[-RA2] Risen From Ashes:,9676692
[ZGRN] Zugrun,9676692
[A-Rt] Art Is Murders,8416562
[DE3Z] the late tommoro,8416562
[LAE] Alice,8416562
[MirA] honey'sEmpire24],8416562
[H21] King war,8416562
[BSG1] BOS GANG 1,7448706
[21H7] PoxaH,7204206
[Anto] Isedux,7204206
[21IT] Immortal Tigers,6342963
[211s] IMORTAL S,6205905
[crew] The Crew Academ,6205905
[S45G] SonsOfGods,6205905
[RCF] RCFARMS,6205905
[WTLF] WarThunderers,6205905
[21MF] MAFIA NATION - 2,6205905
[AGGG] Jumped,6205905
[Jum2] Net_bangers,6205905
[Trka] El Turcooo,6205905
[ValL] Legacy Of Vallhala,6205905
[vits] vit remake,6205905
[N211] world of darkness,6205905
[21Wh] Guerriers d'Athel,6205905
[STHI] Senshi tachi,3589873
[D21A] Dragon Academic,3408679
[BW21] Black Wolf,3408679
[AHSE] AppEagles,3408679
[~RD] RED Dragons,2873013
[~KOD] KING OF DEATH,2685019
[QH-x] Qart Hadasht,2685019
[BARH] Diddy-Party,2481573
[2836] ONLY REAL LEGEN,2203409
[g548] daz351d,2203409
[d2d] dazda524,1977849
[RS12] Real family farmii,1977849
[d266] daz321,1977849
[daz3] dazdla,1956853
[f68] daz35d1dd,1956853
[d2d5] azdar,1949861
[d23d] azda3,1949861
[f245] fzfze,1945939
[3XTT] The Sin,1706505
[S27&] Shrine of @,1648151
[AAA_] KING KLAN_01,1644811
[RA2S] Immortal Wolfs,1644811
[90AT] Tiirkiye 81,1311832
[Nyt2] Nusantara Guardi,1311832
[21iA] Immortal Angels,1311832
[MN21] MINAROK21-0971844,731258
[BMMw] Battle Halll,731258
[ERW] Erawressa The Wa,731258
[872] TheOneWhoWoofe(,731258
[sais] O império,731258
[Blg] Belgique,731258
[FL21] Family war,731258
[P:TK] New _Life,731258
"[h,,] los compraiieros ""'-",731258
[21Cm] Gai Xinh Viét Nan,731258
"[h,,] los compraiieros ""'-",731258
[21Cm] Gai Xinh Viét Nan,731258
[21CF] Clud kingdom Ror,731258
[21cP] God of War Rise,731258
[211C] Immortal Rabbits,42328
[TLG-] The Last Garrison.,42328
