ID,Name,Score,Power
188880730,ᴸᵛMarlone,25,38332875
185029476,HOÀ BÌNH,25,14675255
188544046,G4mine,25,26718340
188284627,21ZeD,25,22428530
188376973,ᴵᶜ CV,25,18936075
188126222,Мexaник 63,25,23227612
188341359,ᴵᶜRaffa,25,15546864
188485523,ᴸᵛIMPERADOR,25,41177170
182317160,G  O  P  A R,25,33100308
185045493,ᴰᴱMADARA,25,17302750
188789133,MiniMe,25,36870063
188797268,PeacePeace,25,19921053
188390528,ᶦᶠAkrosh,25,23306956
188756922,AlexMachine,25,16370702
188819438,ᴸᴳLuca,25,28371247
188885079,ᴵᶜnoobhuhu,25,11287294
188937116,ᴵᶜTom,25,22847232
188290359,ᴵᶜÔmêrx72,25,19390723
188364390,ᴸᵛLeonPoi,25,30950090
189017405,ᵸᵒWizzy,25,34369867
188309795,ᴵᶜ TAZIEX,25,10844048
188368264,funne,25,32313242
188440062,AHAРХИЯ,25,13919732
188883306,ᴵᶜSlonik,25,22332094
188886989,Ggxbbyv2,25,17342036
188362493,亗MrDuck ツ,25,33892076
188220648,ᴵᶜ月口乃,25,13349773
140534782,ᴵᴾCoCaSNX,25,19345651
188970345,PitBlue,25,33714865
189047100,ᴵᶜKilling87,25,18594398
188464450,Sara Connor,25,19524084
188651683,Sol Aliyaa,25,37647794
188980721,ᴵᴾPaduck,25,25853273
188287771,ᅟᅠᅠᅠᅠᅟᅠᅠᅠᅠ ᅟᅠᅠ,25,14156294
188462343,ᴵᶜHILL ツ,25,13266756
188643376,ᴰᴹEmpyron,25,12934596
189028252,ᴵᶜ GranDDpa,25,15046948
188501467,direraven,25,33605649
188969981,ᵸᵒWand0,25,34494064
188833519,JulieLaTueuse쵸,25,31747517
188226323,Souleraza,25,10060843
188902184,The Lost Legend,25,14664931
188319889,亗ChancellorT,25,26292095
187726069,ᵀᴿvSpryth,25,37891785
188448109,lukesbigtoes,25,20112058
188797972,21LuviVilu21,25,30098583
188651684,Milo San,25,33046137
188241812,Gilgamesh2323,25,42956318
188891048,7BeLa,25,25348582
186709522,ᴸᵛ SHERY,25,28441773
188282297,MinasTirith秋,25,19050064
188963486,GÖZTEPELİ35,25,14745890
188852900,Scorpionking乂,25,27537388
188736727,Alex9003,25,32830105
188319008,ᴸᵛКэп21,25,24483757
188276623,ᴸᵛArork,25,36363975
186018265,yıldırımsefa,25,21255660
188291209,ROCKS  D  XEBEC,25,12853105
188836483,YenifferDeRivia,25,26020679
188872694,DELİ ÜSTAD,25,27652680
188839203,ᶦᶠ HotboyLX,25,15895482
185905587,Ze Boshman,25,21929998
189154415,ᵸᵒMDKMB,25,33552581
188225231,ᴾᴿSko0p,25,31928090
182713036,쵸ﾒMØTÃSÊMツ쵸,25,33071039
188354494,Zagrei,25,20358850
188310156,ᴵᶜNomad,25,18879608
188335709,Rebel Rogue,25,29646296
188853575,ヅJiGSåW,25,14140827
188870613,xXVincinetteXx,25,21868756
189045190,Azura21,25,31410841
188793086,GANDAlF EL GRIS,25,25816572
188850642,Tepo5551,25,19597586
185612447,Chaudary Zain,25,33065348
188192835,SвулканS,25,26898843
189040679,ㄴHORIZONㄱ,25,26495211
188785575,ᴵᶜ Cairo xx,25,27765720
188367613,ᶦᶠKinkyTail,25,19059189
188337674,ᴵᴸAxan,25,21396102
188480794,ᴵᶜSopo Boss,25,22248881
188789684,ᴿᵃtMadson,25,29716127
188920797,FreyaFullBosom,25,46113771
188825925,MĀORI,25,10205480
188335707,kungfu Panda,25,17033800
187880560,wcwc,25,16017764
188294260,CЦEПИOH,25,27142026
189076174,Punisher3745,25,16149477
188805469,BossAlienᴾᴴ,25,36337961
188415937,ᴾᴿJ Quix,25,18937245
188809603,ɪsThe Hunter,25,17321233
188937042,ᶦᶠV3rm3lha,25,23862213
190252265,Jamong,25,34054685
188279575,Компот,25,21169530
188293704,ᴸᵛDrMusaab,25,29717045
188811375,Karisma Kloud,25,17379834
188835262,vinzsou,25,25445397
188856405,Jazzyjax,25,14592154
188368666,Derik 災,25,17193465
188442631,ᴵᶜRebelKing,25,20544652
188376202,ᴵᴾ云霄,25,23406909
188877484,ᴵᵀBLOOM,25,26240463
188639928,The亗SCARFACE,25,22135053
188876717,DEWO YEAGER,25,16023961
188912287,ᴸʳgCoelho,25,25547772
188847278,ᴸᵛQuang,25,31766210
188451175,ᵸᵒTerra,25,31678896
188981583,Calep2012,25,13028091
188328011,ᶦᶠ ViKa74,25,14718734
188826595,Saf1974,25,34003307
188453555,Puyols,25,28147288
188376429,ᴵᶜmySoul,25,15863805
188986347,Pimpammm,25,12386241
188285810,ᴵᴰJupanu,25,30630752
188316323,ᴸᵛ SAKURA,25,31021844
188839265,A 10 Warthog,25,59113533
179750493,GuiltyMahiru,25,45259295
188793523,FerAmaya,25,23691610
188837916,Silent Kakashi,25,33800391
188598120,ᶻSharineko〤,25,30979488
188262339,Kitty27,25,30517692
188543996,ᴸᴳﾒNØHOPEツ,25,28620750
188274026,ᶦᶠnan,25,16580448
188839766,Правитель188839766,25,14851847
188818238,PoTaPyh,25,19129159
188900888,Taylorxxb,25,19950297
188818127,ᴿᶝ风华,25,26640600
188776545,ᴳᵒᵈ Ingle,25,19312962
185602720,ˢᵉAbdallah,25,27055353
188900536,emirYıldırım,25,12079420
185094982,Phi Dương F2P,25,24438028
186010544,Mehmet027,25,25796643
188880546,Graf000007,25,27744768
184859052,ᴸᵛamadxd1,25,19221520
189060019,Tušiš,25,38009671
188806334,Emrah 51,25,27555499
188360951,SATORUGOJO1,25,19141927
188800462,ᴵᶜ Omar LYZ,25,16065798
188805837,Quackyducky10,25,13091135
188324838,ХОНДА,25,24413953
188849472,ᶦᶠ RIVALDO,25,20883093
188796842,Menda2137,25,14427115
188852196,DarkExecutioner,25,16177458
188853064,TerrorBlade98,25,20464769
188855475,Agrandemorte75,25,12858999
188628916,ᴵᶜXonxon,25,22793912
186011194,RTHAlek607,25,19069278
188320476,ᴿᵃЛиса,25,24908111
146179581,lupepvp,25,25040529
145631489,BABA SON,25,20416202
188876886,ᴸᵛTheanh,25,30532065
188836051,Cheops Pyramide,25,26609654
188944242,Đạt Feet,25,30164964
189579148,стратег,25,16475452
189141193,ᴸᵛJankels,25,26834223
188336750,SKY EAGLE,25,18136313
188830020,ᴸᴳVersized,25,28886560
189227933,Z  Hot Rain  Z,25,10762707
188868374,CherryHp,25,24747089
188838241,SKORPIONV,25,13908351
184845080,ᴸᵛSCAR德,25,24106120
188275986,vlady 77,25,13999579
188853919,Dariuskme,25,20376794
189443468,Hubey,25,10948714
188365363,diegokristy,25,26683503
184950431,DziochuPL,25,17452768
188879483,M A R T I N,25,14187088
188910784,Ictus scorpioni,25,19205775
189014302,magister,25,18060393
181974650,IDEM City,25,23791400
188829162,Mkジinsane,25,12152527
189236516,ᴿᶝ年华,25,24673456
188896546,БорисBao,25,13857624
188781490,Fra1d,25,14963604
189276543,Subways,25,20198707
188903920,JoshuaSeil,25,20416005
188961098,Chocolalat,25,30362586
189001955,ᴸᵛTruNguyen,25,30313429
188218414,ᴵᶜ2pac GGG,25,16052422
189181702,222mb222,25,16790176
188321597,Isk arab,25,14280407
188865329,Việt hoang 07,25,17892195
188787622,MalandrageX,25,17911504
189939798,ʰᵒDestructor,25,26156612
188846843,BoboFranek,25,21704370
188836639,Ndiaye,25,20437596
188255601,Ant Man21,25,21587050
188661481,Kängurufarm,25,22685146
191006461,Canalterror,25,16517591
188951896,KyGraKen VN,25,12406213
188842111,JJ00,25,22535635
188827507,Dug1man,25,19125225
188328035,Grantello,25,17064239
184817793,meto 313,25,21672529
189057248,Cekko23,25,24004156
188889549,СЦEПИОН,25,21044476
188430882,JapayuKingBILAT,25,19587267
188853241,Алёнаа,25,27200210
188937309,Velikiy Govard,25,24326788
184819319,joe200,25,20426646
188840083,Escanor1202,25,12470762
188884243,HiagoLira,25,17889794
187560016,Kyubi Farm1,25,15179147
188790227,СУЛИМАH,25,20689024
188900320,Linh King,25,12096370
188880051,qftydhunvfezbjj,25,12100235
188785649,priam,25,15077958
188788713,Sam smith,25,28123607
188994494,Snowplow,25,23380274
188848966,Ziyadoglu,25,15673218
196566747,Codrin4Valhalla,25,17661996
188134384,ˢ carlossainz,25,15730884
188840841,ᴸᵛNotZach,25,23942266
188811065,Concavang,25,15928655
187078010,Dr4gonsFarmerツ,25,15490724
188857113,GritNGravy,25,20196778
188948909,SunsHinE,25,14993368
185037710,ᶠʷBambi,25,14725755
188830522,ᴸʳTylnmrl,25,22389052
188939030,TBILISI,25,26462419
84905552,Schwazzier,25,26606981
188879533,Qertt7,25,17313562
188856244,Berga10,25,20109679
190407807,동탄불주먹,25,31825907
188547640,Kitty8152,25,27978791
188836866,zlucifer,25,13134321
188850865,ᶦᶠSTGeeAM,25,12809713
186016235,卂丂卂千,25,22125368
187503097,Romulus1991,25,23312763
188819819,fox77778,25,21361337
187016834,卂几Ҝ卂1,25,17485369
191530671,ᶦᶠtMadsonn,25,20211141
188878743,Jetare,25,22088835
188232993,AKON311,25,19570367
188823442,VIP shooter,25,18054177
188864854,ᴵᶜRix,25,14918864
189134123,Senator219B,25,17264710
188851823,ᴸʳMent001,25,23168927
186073361,卂尺丂Farm,25,13435636
188788866,Picasso178,25,10903554
190329472,F1Quang,25,16533820
188261313,freezebee 21,25,20070819
188816893,WARRIOR FARM 10,25,12407218
188806434,ᴸᴳ Bimz,25,20222255
144563085,ᴵᶜPARANOIA,25,22878266
188490339,Eudaimonia,25,18899353
191454845,ᴸᵛTueAnh,25,23093481
188539042,Chieu F2p,25,19528438
188880486,Kỳ tiktok,25,23720479
188847403,Vali188847403,25,20380868
188848736,long kaka,25,11850653
188856715,ᴸᴳJackie,25,21045312
188838663,ERON,25,19222660
188845980,Azadi,25,16707316
188836606,Black AngEL,25,18388085
188928573,Thànhteo,25,16834657
188487100,Kir8,25,17669699
184327666,ツاحمدᴰᴮ,25,11453593
188884453,dm152,25,20717792
188806199,Op khan,25,18768386
188585266,メDragønメ,25,17046256
188800436,LilPiglet,25,14944668
188886217,Linel,25,19118568
187197359,Demir Bilek,25,20680499
174523518,ㅡᅟᅟF2P 5      ㅡ,25,12034288
