ID,Name,Power,Killpoints,Deads,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,Total Kills,T45 Kills,Ranged,Rss Gathered,Rss Assistance,Helps,Alliance
179940560,ᴸᵛ k,108192822,438956715,3515439,737995,858571,656156,22604177,10421279,35278178,33025456,0,5952887388,1873979817,79811,[LV21]Lords of Valinor
186145908,ʳᵉʸEscanor,86936801,1386398921,3617960,3945705,914540,1661085,116027378,10843129,133391837,126870507,0,3478115012,4338233340,21564,[LV21]Lords of Valinor
188540500,TakeMe2Valhalla,85454390,1372708676,5133677,12405750,5648863,10614805,101029080,15308989,145007487,116338069,0,2813871131,6861247108,44169,[LV21]Lords of Valinor
180304933,ᴼᶻLil reyy,82936365,276519257,3206564,2186387,2764385,3176405,14592279,5596240,28315696,20188519,0,1103394062,4660554697,21005,[LV21]Lords of Valinor
179655012,ᴸᵛDØØPER,78854789,387257120,2165656,1229774,969397,1232048,21978606,8017906,33427731,29996512,0,8286190632,1451282007,36905,[LV21]Lords of Valinor
188858506,Cúchulainn 쵸,75016083,194617548,1721129,556160,261133,417020,17613831,808883,19657027,18422714,0,4807125406,512651627,35962,[LV21]Lords of Valinor
178695066,SokoDrake,70119208,61561847,2511465,451468,102654,145569,4110075,979161,5788927,5089236,0,7571048681,115903540,16810,[LV21]Lords of Valinor
180560115,TripEhh,63417298,299224605,1366497,1534135,808547,280026,16426398,6595830,25644936,23022228,0,6596864328,1225250480,11289,[LV21]Lords of Valinor
179977300,ᴸᵛTmulla,62746032,504791687,1724908,2409495,413380,894297,22376348,13807118,39900638,36183466,0,6890082592,5440679937,17413,[LV21]Lords of Valinor
184964288,ᴾᴿFïshböy,62150768,232834967,2065225,1995145,4656245,3957977,18519642,1104756,30233765,19624398,0,3373502836,632742525,37629,[LV21]Lords of Valinor
186009654,Dooby ᴼᴺᴱ,59438464,226733575,669917,1577826,342124,485548,20987085,696036,24088619,21683121,0,7243114916,137216122,34530,[LV21]Lords of Valinor
178814644,ᵁʷᵘØtòt,56132443,395415835,2902845,18382416,3352869,2295591,27275303,5154911,56461090,32430214,0,2295222519,2229433716,15090,[LV21]Lords of Valinor
188839265,A 10 Warthog,55733888,8485081,177018,40266,74269,128745,665131,58110,966521,723241,0,3546258403,724780894,10314,[LV21]Lords of Valinor
188341936,ᴸᵛ Vatson67,54127143,216310224,1658475,1039003,544821,595628,18855837,1203595,22238884,20059432,0,6263014421,384720155,41124,[LV21]Lords of Valinor
188918989,ᴼᴸ Kaymo,52936946,113024981,1027599,2450325,1386449,2524567,9233055,366660,15961056,9599715,0,3618037465,1075163587,40195,[LV21]Lords of Valinor
184871937,ScazBigLion,51370286,1057597913,3975727,54245068,22592962,23784399,80545096,5048721,186216246,85593817,0,5857024236,13364268108,20604,[LV21]Lords of Valinor
186985518,HornyAPOLLOS,50688540,203844038,1328117,2284490,1512134,3131188,17165898,808957,24902667,17974855,0,2711981102,594947915,17264,[LV21]Lords of Valinor
185836736,ᴸᵛMasonFTW,49694955,438294455,2372746,5603855,2208085,4769431,35830375,2768802,51180548,38599177,0,3255782735,2802859223,28155,[LV21]Lords of Valinor
180060983,ᴸᵛRumRamsey,48971975,326351118,2163165,95038663,5047920,969934,23858741,2739020,127654278,26597761,0,5958999439,417518493,90661,[LV21]Lords of Valinor
182514982,ᴸoᵛeSalmon,48841187,310523328,2776573,17625212,652284,729252,20715077,4781297,44503122,25496374,0,5416738917,1000488180,50913,[LV21]Lords of Valinor
181308342,ᴸᵛRockSolid,46053010,156884758,2426820,2664193,707125,1385050,9928927,2505410,17190705,12434337,0,3418258642,5482949920,38965,[LV21]Lords of Valinor
185808036,Ze Bosh,45487685,324557669,903869,8598579,2626646,3862918,28938009,637645,44663797,29575654,0,5524831513,631820319,29895,[LV21]Lords of Valinor
188920797,FreyaFullBosom,45032351,73915772,1618954,1713022,951963,1141723,6059521,325357,10191586,6384878,0,3410092957,1323334617,23795,[LV21]Lords of Valinor
176994964,Cpl Rage,44576325,93502377,401978,2192506,1505524,2116032,7329702,414584,13558348,7744286,0,1838360560,63265830,16771,[LV21]Lords of Valinor
181825355,ᴸoᵛePUMA,43308981,156778237,1017476,1171836,347822,494479,11041141,2172945,15228223,13214086,0,3234446014,3599759382,33838,[LV21]Lords of Valinor
184826667,ᴸᵛAHERUS勇,42949379,472704916,1238404,12675811,5925857,11098355,40417938,487262,70605223,40905200,0,5623284334,1396853955,24577,[LV21]Lords of Valinor
179750493,GuiltyMahiru,42819388,105751044,940254,2798051,770150,1126071,9120547,397069,14211888,9517616,0,1465858155,1875360302,38416,[LV21]Lords of Valinor
187247613,Sith Padmé,42630725,168605844,2414455,3465372,2992211,3976522,13650502,475862,24560469,14126364,0,7375170930,4298542203,83285,[LV21]Lords of Valinor
182423962,シValkyrieCillaﾒ,41985507,108655086,1842465,5640832,822285,707170,8369803,967782,16507872,9337585,0,5025129925,1265202821,14857,[LV21]Lords of Valinor
181739549,kylinn,41829522,97526701,3321903,2389177,278410,278364,6880327,1328766,11155044,8209093,0,5128390117,10337862643,31310,[SFIS]Sky Fighters
188241812,Gilgamesh2323,41759419,71992509,734147,2437579,200187,257995,6704774,151245,9751780,6856019,0,4885865367,62620586,23261,[LV21]Lords of Valinor
185690465,Dictator  Goat,41727831,331246659,1938979,6061698,2157810,1271305,30165982,948683,40605478,31114665,0,5850344788,985155698,34351,[LV21]Lords of Valinor
142628224,Dae jang goon,41693816,130634720,2352556,1879642,714373,319759,10812135,971483,14697392,11783618,0,4813744550,102794418,16168,[LV21]Lords of Valinor
188976136,ᴸᵛ MUSE,41197670,85064135,1161048,1964008,2348512,917125,6487889,571346,12288880,7059235,0,5073260066,325719425,46465,[LV21]Lords of Valinor
179813923,ㄴ Bless ㄱ,40992793,220699813,2184266,7734825,5947505,5124577,17565497,555228,36927632,18120725,0,2393689694,978016636,23094,[LV21]Lords of Valinor
188483360,ᴼᴸTryxan,40157648,147422454,1033557,4172973,2835314,2675448,11460076,780734,21924545,12240810,0,5876701522,2169436768,38932,[LV21]Lords of Valinor
188969478,ᴰᴹMePaul,40019423,86031221,830319,1953068,3290337,2573561,5970399,453085,14240450,6423484,0,3519376570,278578838,3357,[LV21]Lords of Valinor
188785515,Johnvin,39778508,132578913,1611749,703907,454416,1065340,11897502,414646,14535811,12312148,0,4855620223,93446315,55612,[LV21]Lords of Valinor
188485523,ᴸᵛIMPERADOR,39060904,120021274,897333,405653,28816,60168,10586226,688979,11769842,11275205,0,5996066093,181752989,34967,[LV21]Lords of Valinor
187423027,ᴸᴳPandaFr3d,39026419,164714836,1893655,1871461,791324,911124,13169288,1371026,18114223,14540314,0,2767787136,6820681844,25957,[LV21]Lords of Valinor
186199010,Daphneᴵᴿ,38693134,176157681,1617039,1524876,1269505,3309484,13540272,1233652,20877789,14773924,0,4077872092,1458857670,53642,[LV21]Lords of Valinor
188882878,Rtthyr,38683009,72536184,744753,194923,102500,108215,6407082,389426,7202146,6796508,0,7077331540,93046400,18574,[LV21]Lords of Valinor
185282531,Jëster,37975377,45496988,2695521,469962,132883,175975,4001273,221030,5001123,4222303,0,3451908286,592793562,26190,-
179816952,Hell CAT GTR,37792147,47870265,2646607,54836838,1765720,1888997,1945681,317933,60755169,2263614,0,5353861956,1636698071,10401,[LV21]Lords of Valinor
187726069,ᵀᴿvSpryth,37664996,44024569,615317,1261609,163540,319012,3796266,210323,5750750,4006589,0,5313161469,15763287,21943,[LV21]Lords of Valinor
185457048,Cman9918,37613929,128598399,1146301,3704156,1184975,873737,11230033,484617,17477518,11714650,0,1991413988,126071365,16586,[LV21]Lords of Valinor
180368631,ᴸᵛWinfields,37323621,153071208,4521082,23185411,189020,606014,11165727,1698738,36844910,12864465,0,5034318384,1868634074,13113,[LV21]Lords of Valinor
188315680,ᴵᶜ VXYzzz,37313545,99903871,786586,2876549,2107155,3146783,7644046,304333,16078866,7948379,0,5791378902,34554649,30627,[LV21]Lords of Valinor
178213242,ᶦˢLOCOOZ,37041286,121205681,3688087,2053376,957035,1554554,6929606,2168333,13662904,9097939,0,4338797235,1274602396,21591,[LV21]Lords of Valinor
188569749,ᴵᴾEndoloris,37018743,135932617,1872172,1390988,2616276,1563397,10769220,823804,17163685,11593024,0,1822151378,163440000,5369,-
188651683,Sol Aliyaa,36780348,12035638,109645,119003,49805,35722,1123748,26593,1354871,1150341,0,3845436836,201676244,15227,[LV21]Lords of Valinor
186444772,HornyDr4gonツ,36458244,244579609,2586688,5247209,3482356,3833359,21316520,403341,34282785,21719861,0,5224113590,4177255259,37343,[LV21]Lords of Valinor
188303104,HokieHighlander,36416204,51506187,1258821,163505,109840,34689,4634293,238606,5180933,4872899,0,1045133914,80507159,12734,[LV21]Lords of Valinor
188880730,ᴸᵛMarlone,36387738,117882884,1756178,410310,370088,130184,10228033,712979,11851594,10941012,0,5743022741,136720000,43184,[LV21]Lords of Valinor
188805469,BossAlienᴾᴴ,35743679,63939629,1158071,214067,604492,927433,5552798,172506,7471296,5725304,0,4814719425,134750966,37281,[LV21]Lords of Valinor
189072394,ᴵᴾLaura,35739017,38308315,1303254,7315756,351266,767013,2974366,166546,11574947,3140912,0,6170974565,362529904,26744,[LV21]Lords of Valinor
185048534,Han Sansan,35580502,101489100,743566,376122,342082,415533,9236772,334993,10705502,9571765,0,5875519511,307367305,30167,[LV21]Lords of Valinor
188276623,ᴸᵛArork,35407651,74165396,928755,727440,1265703,1364258,6306855,148146,9812402,6455001,0,3648334866,360935366,16083,[LV21]Lords of Valinor
188333348,ᴷᴺLinh,35314801,63949139,919906,1886379,1645656,5139453,3554252,209011,12434751,3763263,0,4745914719,550111352,10868,[LV21]Lords of Valinor
189060019,Tušiš,35138790,71298403,773174,583219,635078,1036021,6206012,185370,8645700,6391382,0,2804705598,552362591,19429,[LV21]Lords of Valinor
188648613,Känguruᴵᴰ,35054560,25242454,339495,377701,272323,171077,2085000,154398,3060499,2239398,0,2914267394,286935074,13308,[LV21]Lords of Valinor
188789133,MiniMe,35048636,34559322,331090,235413,224998,167551,3200660,69272,3897894,3269932,0,4815990957,28996015,11452,[LV21]Lords of Valinor
189065897,W3llsFargo,34667810,35671090,583000,1039291,898257,213767,3105929,87618,5344862,3193547,0,3743634244,2754424297,18289,[LV21]Lords of Valinor
185341770,ᶜᵘRalfish,34477678,48758965,2488511,825738,380145,497142,3689042,447727,5839794,4136769,0,2627236993,25760000,15404,[LV21]Lords of Valinor
185089489,ᴼᴾZOROGRANJ,34332185,89977952,1885507,550571,355159,737615,7809122,405792,9858259,8214914,0,5703855206,2083599610,21232,[LG21]Lords of Gondor
188794709,ᶦᵗˢᵘRYU,33822483,100902029,978863,1317829,2549412,2529700,8112752,214666,14724359,8327418,0,3454712186,94094214,34813,[LV21]Lords of Valinor
188969981,ᵸᵒWand0,33809340,63531564,1283673,2054730,706949,524275,5222676,369143,8877773,5591819,0,4209812513,156699275,22323,[LV21]Lords of Valinor
185986678,卂尺丂,33754233,78293101,1173531,678506,1395180,1286320,6477374,272401,10109781,6749775,0,3317300834,1093919485,14327,[LV21]Lords of Valinor
188336265,ᴸᵛiGREC,33354856,30341566,354919,474220,194921,277535,2707442,83616,3737734,2791058,0,2450337076,175934276,16911,[LV21]Lords of Valinor
189017405,ᵸᵒWizzy,33066657,32258417,1104851,804005,975948,1093260,2458654,59307,5391174,2517961,0,2682592941,170159151,13817,[LV21]Lords of Valinor
190252265,Jamong,32871137,41215583,945829,240286,331111,223656,3528820,216124,4539997,3744944,0,5074986306,81003240,22981,[LV21]Lords of Valinor
182317160,G O P A Rᴸᵛ,32841181,157680983,1882435,3078776,2312591,2727624,13559485,296735,21975211,13856220,0,3904867956,738465485,27363,[LV21]Lords of Valinor
181534760,ᴸᵛSongoku,32821984,77625668,1418818,947363,718037,1206878,6700487,208387,9781152,6908874,0,3806499942,755945265,157117,[LV21]Lords of Valinor
189154415,ᵸᵒMDKMB,32690088,60581606,746016,2568283,865337,727479,4669190,436773,9267062,5105963,0,2051877603,2596649121,19135,[LV21]Lords of Valinor
186841127,Anossss,32621996,70524052,1111554,1178544,154269,102769,6229679,363597,8028858,6593276,0,4159832643,4253401,13978,[LV21]Lords of Valinor
188826595,Saf1974,32582745,78278399,1331285,721829,553217,574540,6917562,277691,9044839,7195253,0,4936223177,222946040,46904,[LV21]Lords of Valinor
188501467,direraven,32474674,85739114,743222,5160953,2365199,2777679,6219711,333435,16856977,6553146,0,4657388292,4551820,26267,[LV21]Lords of Valinor
188970345,PitBlue,32406151,92946979,796762,1120668,1623522,1658543,7556619,363772,12323124,7920391,0,3905233712,1077393391,22249,[LV21]Lords of Valinor
188837916,Silent Kakashi,32298677,105876915,889638,839969,754922,750377,9809221,155268,12309757,9964489,0,1722874789,103761097,13947,[LV21]Lords of Valinor
187029935,HolySpirit,32242135,126877414,1399813,1236470,1343710,1577860,11020654,371236,15549930,11391890,0,2678626822,1104079437,18181,[LV21]Lords of Valinor
188581465,ᴸᵛSpSmeagle,32230323,54306450,771305,1264343,1093916,361345,4747301,147368,7614273,4894669,0,4086975508,150346971,19906,-
186765655,KönigsKlãsse,32217506,161810515,872121,1985538,1337845,1833427,13420645,859878,19437333,14280523,0,3520783483,407789115,7621,[LV21]Lords of Valinor
188651684,Milo San,32152366,7126633,256838,5998,5637,18715,651518,26206,708074,677724,0,2892323083,349753808,11569,[LV21]Lords of Valinor
185037763,ᵛBEARDY,32141951,51437912,2227119,28222212,2319488,801981,2906415,444121,34694217,3350536,0,4909049053,554484409,19461,[LV21]Lords of Valinor
188544046,G4mine,32065090,26479448,851895,262602,631545,296942,2060539,168534,3420162,2229073,0,4297447623,247760315,20119,[LV21]Lords of Valinor
185724517,Feldgraŭ,31963117,143895654,1749110,439323,3849630,1436815,10846195,1094966,17666929,11941161,0,4247055686,178066760,33143,[LV21]Lords of Valinor
188736727,Alex9003,31961158,32473390,1660154,2964172,704741,765686,2254625,243104,6932328,2497729,0,4101085898,38138060,14056,[LV21]Lords of Valinor
188362493,亗MrDuck ツ,31952846,47364984,1161416,1502313,2043320,1145043,3652427,93672,8436775,3746099,0,2755945051,869611190,16062,[LV21]Lords of Valinor
188368264,funne,31937885,27615211,1265037,834275,642636,595616,2083334,147364,4303225,2230698,0,3729054462,61698120,16403,[LV21]Lords of Valinor
188352541,ᴾᴿ Mèoッ,31925567,115726127,1163354,7159677,1696839,1293856,9684405,444052,20278829,10128457,0,6032312148,0,14197,[LV21]Lords of Valinor
187559873,ｱ尺ﾉ丂ᄃﾉﾚﾚﾑ,31920548,62577567,524842,786256,540194,444292,5234590,360843,7366175,5595433,0,2597198387,616443180,15335,[LV21]Lords of Valinor
